"ID","transponder","sex"
"B2X3159","F1A741F9C66F0001",2
"B2X3160","EC6741F9C66F0001",1
"B2X3161","F9A741F9C66F0001",2
"B2X3162","BA6741F9C66F0001",2
"B2X3163","2C6741F9C66F0001",1
"B2X3164","6DA741F9C66F0001",1
"B2X3165","2E6741F9C66F0001",2
"B2X3166","9EA741F9C66F0001",2
"B2X3167","146741F9C66F0001",2
"B2X3168","46A741F9C66F0001",2
"B2X3169","BC6741F9C66F0001",2
"B2X3170","DE6741F9C66F0001",2
"B2X3171","906741F9C66F0001",1
"B2X3172","3C6741F9C66F0001",2
"B2X3173","91A741F9C66F0001",1
"B2X3174","21A741F9C66F0001",1
"B2X3175","B32741F9C66F0001",2
"B2X3176","9A2741F9C66F0001",1
"B2X3177","8A2741F9C66F0001",1
"B2X3178","632741F9C66F0001",1
"B2X3179","FC2741F9C66F0001",1
"B2X3181","2D2741F9C66F0001",2
"B2X3182","332741F9C66F0001",2
"B2X3183","036741F9C66F0001",2
"B2X3184","106741F9C66F0001",2
"B2X3185","B3A741F9C66F0001",2
"B2X3186","436741F9C66F0001",1
"B2X3187","F36741F9C66F0001",1
"B2X3188","7A2741F9C66F0001",1
"B2X3189","092741F9C66F0001",1
"B2X3190","356741F9C66F0001",2
"B2X3191","962741F9C66F0001",1
"B2X3192","722741F9C66F0001",1
"B2X3193","EE2741F9C66F0001",1
"B2X3194","C22741F9C66F0001",2
"B2X3195","3E2741F9C66F0001",2
"B2X3196","7C2741F9C66F0001",1
"B2X3197","062741F9C66F0001",1
"B2X3198","BE2741F9C66F0001",2
"B2X3200","292741F9C66F0001",1
"B2X3201","0D25C4B43A6F0001",1
"B2X3202","75DDC4B43A6F0001",2
"B2X3203","9572C4B43A6F0001",2
"B2X3204","DF83C4B43A6F0001",1
"B2X3205","2A3124B43A6F0001",2
"B2X3206","A1D524B43A6F0001",2
"B2X3207","EEDDC4B43A6F0001",1
"B2X3208","0AC924B43A6F0001",2
"B2X3209","95ED24B43A6F0001",1
"B2X3210","F56741F9C66F0001",2
"B2X3211","486741F9C66F0001",2
"B2X3212","2BA741F9C66F0001",2
"B2X3213","16A741F9C66F0001",1
"B2X3214","58A741F9C66F0001",2
"B2X3215","652741F9C66F0001",1
"B2X3216","592741F9C66F0001",2
"B2X3217","1D2741F9C66F0001",2
"B2X3218","AF2741F9C66F0001",2
"B2X3219","5CA741F9C66F0001",1
"B2X3220","C06741F9C66F0001",2
"B2X3221","462741F9C66F0001",1
"B2X3222","7D2741F9C66F0001",1
"B2X3223","DB6741F9C66F0001",2
"B2X3224","C12741F9C66F0001",2
"B2X3225","0FA741F9C66F0001",2
"B2X3226","892741F9C66F0001",2
"B2X3227","792741F9C66F0001",2
"B2X3228","19A741F9C66F0001",1
"B2X3229","6E2741F9C66F0001",1
"B2X3230","71A741F9C66F0001",1
"B2X3231","88A741F9C66F0001",2
"B2X3232","3AA741F9C66F0001",1
"B2X3233","ADA741F9C66F0001",2
"B2X3234","69A741F9C66F0001",1
"B2X3235","39A741F9C66F0001",2
"B2X3236","A9A741F9C66F0001",1
