"ID","ageFirstCap","season","k","age"
"B2V8616",0,2013,3,2
"B2V8616",0,2014,4,2
"B2V8616",0,2015,5,2
"B2V8616",0,2016,6,2
"B2V8616",0,2017,7,2
"B2V8616",0,2018,8,2
"B2V8616",0,2019,9,2
"B2V8616",0,2020,10,2
"B2V8617",0,2011,1,0
"B2V8617",0,2012,2,1
"B2V8617",0,2013,3,2
"B2V8617",0,2014,4,2
"B2V8617",0,2015,5,2
"B2V8617",0,2016,6,2
"B2V8617",0,2017,7,2
"B2V8617",0,2018,8,2
"B2V8617",0,2019,9,2
"B2V8617",0,2020,10,2
"B2V8618",0,2011,1,0
"B2V8618",0,2012,2,1
"B2V8618",0,2013,3,2
"B2V8618",0,2014,4,2
"B2V8618",0,2015,5,2
"B2V8618",0,2016,6,2
"B2V8618",0,2017,7,2
"B2V8618",0,2018,8,2
"B2V8618",0,2019,9,2
"B2V8618",0,2020,10,2
"B2V8619",0,2011,1,0
"B2V8619",0,2012,2,1
"B2V8619",0,2013,3,2
"B2V8619",0,2014,4,2
"B2V8619",0,2015,5,2
"B2V8619",0,2016,6,2
"B2V8619",0,2017,7,2
"B2V8619",0,2018,8,2
"B2V8619",0,2019,9,2
"B2V8619",0,2020,10,2
"B2V8620",0,2011,1,0
"B2V8620",0,2012,2,1
"B2V8620",0,2013,3,2
"B2V8620",0,2014,4,2
"B2V8620",0,2015,5,2
"B2V8620",0,2016,6,2
"B2V8620",0,2017,7,2
"B2V8620",0,2018,8,2
"B2V8620",0,2019,9,2
"B2V8620",0,2020,10,2
"B2V8621",0,2011,1,0
"B2V8621",0,2012,2,1
"B2V8621",0,2013,3,2
"B2V8621",0,2014,4,2
"B2V8621",0,2015,5,2
"B2V8621",0,2016,6,2
"B2V8621",0,2017,7,2
"B2V8621",0,2018,8,2
"B2V8621",0,2019,9,2
"B2V8621",0,2020,10,2
"B2V8622",0,2011,1,0
"B2V8622",0,2012,2,1
"B2V8622",0,2013,3,2
"B2V8622",0,2014,4,2
"B2V8622",0,2015,5,2
"B2V8622",0,2016,6,2
"B2V8622",0,2017,7,2
"B2V8622",0,2018,8,2
"B2V8622",0,2019,9,2
"B2V8622",0,2020,10,2
"B2V8623",0,2011,1,0
"B2V8623",0,2012,2,1
"B2V8623",0,2013,3,2
"B2V8623",0,2014,4,2
"B2V8623",0,2015,5,2
"B2V8623",0,2016,6,2
"B2V8623",0,2017,7,2
"B2V8623",0,2018,8,2
"B2V8623",0,2019,9,2
"B2V8623",0,2020,10,2
"B2V8624",0,2011,1,0
"B2V8624",0,2012,2,1
"B2V8624",0,2013,3,2
"B2V8624",0,2014,4,2
"B2V8624",0,2015,5,2
"B2V8624",0,2016,6,2
"B2V8624",0,2017,7,2
"B2V8624",0,2018,8,2
"B2V8624",0,2019,9,2
"B2V8624",0,2020,10,2
"B2V8625",0,2011,1,0
"B2V8625",0,2012,2,1
"B2V8625",0,2013,3,2
"B2V8625",0,2014,4,2
"B2V8625",0,2015,5,2
"B2V8625",0,2016,6,2
"B2V8625",0,2017,7,2
"B2V8625",0,2018,8,2
"B2V8625",0,2019,9,2
"B2V8625",0,2020,10,2
"B2V8626",0,2011,1,0
"B2V8626",0,2012,2,1
"B2V8626",0,2013,3,2
"B2V8626",0,2014,4,2
"B2V8626",0,2015,5,2
"B2V8626",0,2016,6,2
"B2V8626",0,2017,7,2
"B2V8626",0,2018,8,2
"B2V8626",0,2019,9,2
"B2V8626",0,2020,10,2
"B2V8627",0,2011,1,0
"B2V8627",0,2012,2,1
"B2V8627",0,2013,3,2
"B2V8627",0,2014,4,2
"B2V8627",0,2015,5,2
"B2V8627",0,2016,6,2
"B2V8627",0,2017,7,2
"B2V8627",0,2018,8,2
"B2V8627",0,2019,9,2
"B2V8627",0,2020,10,2
"B2V8628",0,2011,1,0
"B2V8628",0,2012,2,1
"B2V8628",0,2013,3,2
"B2V8628",0,2014,4,2
"B2V8628",0,2015,5,2
"B2V8628",0,2016,6,2
"B2V8628",0,2017,7,2
"B2V8628",0,2018,8,2
"B2V8628",0,2019,9,2
"B2V8628",0,2020,10,2
"B2V8630",0,2011,1,0
"B2V8630",0,2012,2,1
"B2V8630",0,2013,3,2
"B2V8630",0,2014,4,2
"B2V8630",0,2015,5,2
"B2V8630",0,2016,6,2
"B2V8630",0,2017,7,2
"B2V8630",0,2018,8,2
"B2V8630",0,2019,9,2
"B2V8630",0,2020,10,2
"B2V8631",0,2011,1,0
"B2V8631",0,2012,2,1
"B2V8631",0,2013,3,2
"B2V8631",0,2014,4,2
"B2V8631",0,2015,5,2
"B2V8631",0,2016,6,2
"B2V8631",0,2017,7,2
"B2V8631",0,2018,8,2
"B2V8631",0,2019,9,2
"B2V8631",0,2020,10,2
"B2V8632",0,2011,1,0
"B2V8632",0,2012,2,1
"B2V8632",0,2013,3,2
"B2V8632",0,2014,4,2
"B2V8632",0,2015,5,2
"B2V8632",0,2016,6,2
"B2V8632",0,2017,7,2
"B2V8632",0,2018,8,2
"B2V8632",0,2019,9,2
"B2V8632",0,2020,10,2
"B2V8633",0,2011,1,0
"B2V8633",0,2012,2,1
