"ID","sex"
"B2X3217",2
"B2X3218",2
"B2X3219",1
"B2X3077",2
"B2X3539",2
"B2X3540",1
"B2X3541",1
"B2X3542",1
"B2X3543",1
"B2X3544",2
"B2X3545",2
"B2X3546",2
"B2X3547",2
"B2X3548",1
"B2X3549",1
"B2X3320",2
"B2X3321",1
"B2X3322",2
"B2X3323",1
"B2X3324",2
"B2X3325",2
"B2X3326",2
"B2X3327",1
"B2X3328",2
"X03011408",1
"X06011408",1
"B2X3727",1
"B2X3728",1
"B2X3729",2
"B2X3730",2
"B2X3731",1
"B2X3732",1
"X01011408",2
"X04011608",2
"X05011608",2
"X06011608",2
"X07011608",2
"X09011608",1
"X10011608",2
"X01012108",1
"B2X3968",1
"B2X3969",1
"B2X3970",1
"B2X3971",1
"B2X3972",1
"B2X3237",1
"B2X3238",2
"B2X3239",2
"B2X3240",2
"B2X3241",2
"B2X3242",1
"B2X3243",1
"B2X3244",1
"B2X3245",2
"B2X3246",2
"B2X3079",2
"B2X3568",1
"B2X3569",1
"B2X3570",1
"B2X3571",1
"B2X3572",1
"B2X3573",1
"B2V8465",1
"X01013408",2
"X02013408",1
"B2X3263",2
"B2X3264",2
"B2X3265",1
"B2X3266",2
"B2X3267",1
"B2X3268",2
"B2X3269",1
"B2X3097",2
"X01013908",1
"X02013908",1
"X03013908",1
"X04013908",1
"X05013908",1
"X06013908",2
"X07013908",2
"X08013908",1
"B2X3031",2
"B2X3210",2
"B2X3211",2
"B2X3212",2
"B2X3213",1
"B2X3214",2
"X01014908",2
"X02014908",1
"X03014908",2
"X04014908",2
"X05014908",2
"X06014908",1
"X07014908",2
"X08014908",2
"B2X3088",2
"X01015208",2
"X02015208",2
"X03015208",1
"X04015208",2
"X05015208",1
"X06015208",2
"X07015208",1
"X08015208",2
"X09015208",2
"X10015208",2
"B2X3499",2
"B2X3087",1
"B2X3354",2
"B2X3355",2
"B2X3356",1
"B2X3357",1
"B2X3358",1
"B2X3359",1
"B2X3360",1
"B2X3361",2
"B2X3362",1
"X01015308",1
"X11015608",2
"X12015608",2
"X01015608",2
"X02015608",2
"X03015608",2
"X04015608",1
"X05015608",2
"X06015608",2
"X07015608",2
"X08015608",2
"X09015608",1
"X10015608",2
"B2X3363",2
"B2X3364",1
"B2X3365",2
"B2X3366",2
"B2X3367",1
"B2X3368",1
"B2X3369",1
"B2X3370",1
"B2X3371",2
"B2X3372",2
"B2X3373",1
"X01015708",1
"X10015808",2
"X01015808",2
"X02015808",1
"X03015808",1
"X04015808",1
"X05015808",1
"X06015808",2
"X07015808",1
"X08015808",2
"X09015808",2
"B2X3191",1
"B2X3192",1
"B2X3193",1
"B2X3194",2
"B2X3195",2
"B2X3196",1
"B2X3197",1
"B2X3198",2
"B2X3199",1
"B2X3200",1
"X01016008",2
"B2X3081",1
"B2X3386",2
"B2X3387",2
"B2X3388",1
"B2X3389",2
"B2X3390",2
"B2X3391",2
"B2X3392",2
"B2X3393",2
"B2X3394",2
"X01016608",2
"B2X3148",2
"B2X3149",1
"B2X3150",1
"B2X3151",1
"B2X3152",1
"B2X3153",2
"B2X3154",2
"B2X3098",1
"B2X3093",2
"B2X3270",1
"B2X3271",1
"B2X3272",1
"B2X3273",2
"B2X3274",2
"B2X3275",1
"B2X3276",2
"B2X3078",2
"B2X3465",2
"B2X3466",1
"B2X3467",2
"B2X3468",2
"B2X3469",2
"B2X3470",1
